LotID,Titel,Beschreibung,Auktionsdatum,Detail-Link,Bild-Link
2277035,"Macho & Chlapovič - Auction 31, Lot 1030","Moravia / Lower Austria, Celts Obol. Roseldorf / Němčice II type Mähren / Niederösterreich, Kelten Obol. Typ Roseldorf / Němčice II Morava / Dolní Rakousko, Kelti Obol. Typ Roseldorf / Němčice II 0,71 g, 9 mm, Ag, Kostur–Gášpár 65 var., VF / about VF Starting price: 10 EUR...",20 Oct 2023,https://pro.coinarchives.com/a/lotviewer.php?LotID=2277035&AucID=5527&Lot=1030,https://media.coinarchives.com/0b04a2afb4b32efb47f6f15a07816da8/img/macho/031/image01030.jpg
2277036,"Macho & Chlapovič - Auction 31, Lot 1031","Moravia / Lower Austria, Celts Obol. Roseldorf / Němčice II type Mähren / Niederösterreich, Kelten Obol. Typ Roseldorf / Němčice II Morava / Dolní Rakousko, Kelti Obol. Typ Roseldorf / Němčice II 0,75 g, 7,3-8,2 mm, Kostur–Gášpár 65 var., VF / about EF Starting price: 20 EUR...",20 Oct 2023,https://pro.coinarchives.com/a/lotviewer.php?LotID=2277036&AucID=5527&Lot=1031,https://media.coinarchives.com/24e826a31e0c906f6ae218c8238c9802/img/macho/031/image01031.jpg
2277037,"Macho & Chlapovič - Auction 31, Lot 1032","Moravia / Lower Austria, Celts Obol. Roseldorf / Němčice II type Light traces of corrosion. Mähren / Niederösterreich, Kelten Obol. Typ Roseldorf / Němčice II Kleine Korrosionsspuren. Morava / Dolní Rakousko, Kelti Obol. Typ Roseldorf / Němčice II Drobné stopy koroze. 0,7 g, 9,5-10 mm, Kostur–Gášpár 65 var., about EF / EF Starting price: 20 EUR...",20 Oct 2023,https://pro.coinarchives.com/a/lotviewer.php?LotID=2277037&AucID=5527&Lot=1032,https://media.coinarchives.com/f3190c44d8da14edcfae1e993ae34dad/img/macho/031/image01032.jpg
2277038,"Macho & Chlapovič - Auction 31, Lot 1033","Moravia / Lower Austria, Celts Obol (2nd/1st century BC). Forepart of Pegasus type Traces of corrosion. Mähren / Niederösterreich, Kelten Obol (2./1. Jh. v. Chr.). Typ Pegasosprotome Korrosionsspuren. Morava / Dolní Rakousko, Kelti Obol (2./1. stol. př. Kr.). Typ protoma Pegase Stopy koroze. 0,45 g, 8,5 mm, Kostur – Gášpár 164 var., EF / EF Starting price: 100 EUR...",20 Oct 2023,https://pro.coinarchives.com/a/lotviewer.php?LotID=2277038&AucID=5527&Lot=1033,https://media.coinarchives.com/4cd68342a0efe36344a6dba7a95121e6/img/macho/031/image01033.jpg
2277040,"Macho & Chlapovič - Auction 31, Lot 1035","Moravia / Lower Austria, Celts Obol (3 pcs). Roseldorf/Němčice type Mähren / Niederösterreich, Kelten Obol (3 Stk.). Typ Roseldorf/Němčice Morava / Dolní Rakousko, Kelti Obol (3 ks). Typ Roseldorf/Němčice about EF / VF Starting price: 15 EUR...",20 Oct 2023,https://pro.coinarchives.com/a/lotviewer.php?LotID=2277040&AucID=5527&Lot=1035,https://media.coinarchives.com/c70e1bd133aaef05c8bc9ab712ceb930/img/macho/031/image01035.jpg
2277041,"Macho & Chlapovič - Auction 31, Lot 1036","Moravia / Lower Austria, Celts Obol (3 pcs). Pferd mit Rosette, Roseldorf/Němčice types Mähren / Niederösterreich, Kelten Obol (3 Stk.). Typ Pferd mit Rosette, Roseldorf/Němčice Morava / Dolní Rakousko, Kelti Obol (3 ks). Typ kůň s rosetou, Roseldorf/Němčice VF / F Starting price: 10 EUR...",20 Oct 2023,https://pro.coinarchives.com/a/lotviewer.php?LotID=2277041&AucID=5527&Lot=1036,https://media.coinarchives.com/0d3f16fffb98e78370a32b02abd6ebd1/img/macho/031/image01036.jpg
2277044,"Macho & Chlapovič - Auction 31, Lot 1039","Southern Germany, Celts Obol. Manching type Light traces of corrosion. Slightly broken. Süd-Deutschland, Kelten Obol. Typ Manching Kleine Korrosionsspuren. Leicht geborsten. Jižní Německo, Kelti Obol. Typ Manching Drobné stopy koroze. Mírně prasklý. 0,42 g, 8-10 mm, Ag, good VF / VF Starting price: 15 EUR...",20 Oct 2023,https://pro.coinarchives.com/a/lotviewer.php?LotID=2277044&AucID=5527&Lot=1039,https://media.coinarchives.com/d3c813634a354451686711edf6835383/img/macho/031/image01039.jpg
2277045,"Macho & Chlapovič - Auction 31, Lot 1040","Central Europe, Celts Obol. Karlstein type Traces of corrosion. Broken off. Mitteleuropa, Kelten Obol. Typ Karlstein Korrosionsspuren. Abgespaltet. Střední Evropa, Kelti Obol. Typ Karlstein Stopy koroze. Olámaný. 0,43 g, 8,5-9 mm, Ag, EF / EF Starting price: 15 EUR...",20 Oct 2023,https://pro.coinarchives.com/a/lotviewer.php?LotID=2277045&AucID=5527&Lot=1040,https://media.coinarchives.com/5553a243989e24b1e557578da39c179f/img/macho/031/image01040.jpg
2277046,"Macho & Chlapovič - Auction 31, Lot 1041","Central Europe, Celts Obol. Karlstein type Mitteleuropa, Kelten Obol. Typ Karlstein Střední Evropa, Kelti Obol. Typ Karlstein 0,38 g, 9-10,5 mm, Kostur – Gášpár 167.1 (tento kus / this piece), EF / good EF Starting price: 20 EUR...",20 Oct 2023,https://pro.coinarchives.com/a/lotviewer.php?LotID=2277046&AucID=5527&Lot=1041,https://media.coinarchives.com/561a6f721eeabf3c9e73869d39c80616/img/macho/031/image01041.jpg
2277047,"Macho & Chlapovič - Auction 31, Lot 1042","Central Europe, Celts Obol. Karlstein type Mitteleuropa, Kelten Obol. Typ Karlstein Střední Evropa, Kelti Obol. Typ Karlstein 0,4 g, 8,6-9,8 mm, Ag, about VF / about VF Starting price: 5 EUR...",20 Oct 2023,https://pro.coinarchives.com/a/lotviewer.php?LotID=2277047&AucID=5527&Lot=1042,https://media.coinarchives.com/d0337734561be2d02fa63d76cfde7317/img/macho/031/image01042.jpg
2277048,"Macho & Chlapovič - Auction 31, Lot 1043","Central Europe, Celts Obol. Karlstein type Mitteleuropa, Kelten Obol. Typ Karlstein Střední Evropa, Kelti Obol. Typ Karlstein 0,43 g, 8,4-10,3 mm, Ag, VF / good VF Starting price: 10 EUR...",20 Oct 2023,https://pro.coinarchives.com/a/lotviewer.php?LotID=2277048&AucID=5527&Lot=1043,https://media.coinarchives.com/867200a00bd9813008c57292e2a47cb6/img/macho/031/image01043.jpg
2277049,"Macho & Chlapovič - Auction 31, Lot 1044","Central Europe, Celts Obol (2 pcs). Karlstein type Mitteleuropa, Kelten Obol (2 Stk.). Typ Karlstein Střední Evropa, Kelti Obol (2 ks). Typ Karlstein Ag, EF / VF Starting price: 10 EUR...",20 Oct 2023,https://pro.coinarchives.com/a/lotviewer.php?LotID=2277049&AucID=5527&Lot=1044,https://media.coinarchives.com/2ac85afadddfd7a9eb3db29e9ea7b74f/img/macho/031/image01044.jpg
2277050,"Macho & Chlapovič - Auction 31, Lot 1045","Western Slovakia, Celts Obol (3 pcs). Horse / horse type Westslowakei, Kelten Obol (3 Stk.). Typ Pferd / Pferd Západní Slovensko, Kelti Obol (3 ks). Typ kůň / kůň Kostur – Gášpár 82, about VF / F Starting price: 30 EUR...",20 Oct 2023,https://pro.coinarchives.com/a/lotviewer.php?LotID=2277050&AucID=5527&Lot=1045,https://media.coinarchives.com/03187201a6fd6c9f9c6bbdc15dd3e4d4/img/macho/031/image01045.jpg
2277052,"Macho & Chlapovič - Auction 31, Lot 1047","Southwestern Slovakia (Bratislava), Celts Obol. Karlstein type Südwestslowakei (Pressburg), Kelten Obol. Typ Karlstein Jihozápadní Slovensko, bratislavské oppidum, Kelti Obol. Typ Karlstein 0,35 g, 8,3-8,9 mm, Kostur – Gášpár 167 var., EF / good EF Starting price: 40 EUR...",20 Oct 2023,https://pro.coinarchives.com/a/lotviewer.php?LotID=2277052&AucID=5527&Lot=1047,https://media.coinarchives.com/c60ab640ef5211c293823de8ec147019/img/macho/031/image01047.jpg
2277054,"Macho & Chlapovič - Auction 31, Lot 1049","Southwestern Slovakia, Celts Obol. Triskeles type and lyra Südwestslowakei, Kelten Obol. Typ Triskeles und Lyra Jihozápadní Slovensko, Kelti Obol. Typ triskeles a lyra 1 g, 9,8-11,3 mm, Ag, Kostur–Gášpár 73, VF / VF Starting price: 40 EUR...",20 Oct 2023,https://pro.coinarchives.com/a/lotviewer.php?LotID=2277054&AucID=5527&Lot=1049,https://media.coinarchives.com/10f11cfebde08e0214df17de257e7778/img/macho/031/image01049.jpg
2277056,"Macho & Chlapovič - Auction 31, Lot 1051","SW Slovakia / Lower Austria, Celts Obol Very rare! Südwestslowakei / Niederösterreich, Kelten Obol Sehr selten! Jihozápadní Slovensko / Dolní Rakousko, Kelti Obol Velmi vzácný! 0,73 g, 9-10 mm, Ag, Kostur–Gášpár –, F / VF Starting price: 10 EUR...",20 Oct 2023,https://pro.coinarchives.com/a/lotviewer.php?LotID=2277056&AucID=5527&Lot=1051,https://media.coinarchives.com/2f3afdaf12b1be33e11b0dce021e1ebb/img/macho/031/image01051.jpg
2277064,"Macho & Chlapovič - Auction 31, Lot 1059","Southern Germany, Celts Obol. Manching type Light traces of corrosion. Süd-Deutschland, Kelten Obol. Typ Manching Kleine Korrosionsspuren. Jižní Německo, Kelti Obol. Typ Manching Drobné stopy koroze. 0,40 g, 7-10 mm, Ag, EF / EF Starting price: 30 EUR...",20 Oct 2023,https://pro.coinarchives.com/a/lotviewer.php?LotID=2277064&AucID=5527&Lot=1059,https://media.coinarchives.com/d8872e2e3c261649f94b627105c1b861/img/macho/031/image01059.jpg
2278074,"Münzzentrum Rheinland - Auction 200, Lot 26","GERMANIEN. VINDELIKER in Bayern. ""1/4 Quinar"" 0,41g, Oppidum ""Manching"". ""Zangenkopf"" n.l. / Pferd läuft n.l.; oben 5-Punkt; unten Winkelspitz. Kellner 718. . vz Estimate: 100 EUR...",20 Sep 2023,https://pro.coinarchives.com/a/lotviewer.php?LotID=2278074&AucID=5529&Lot=26,https://media.coinarchives.com/32a511975f1adf7d3336fa13a7d80d57/img/muenzzentrum/200/image00026.jpg
