"Id";"Type | Code | Code";"Type | Obverse design | Obverse design | Description";"Type | Reverse design | Reverse design | Description";"Collection | Name";"Collection | Surname";"Collection | Name";"Inventory number";"Weight";"Diameter max.";"Findspot | Name"
"5469";"Boisches Kleinsilber";"Head to l.";"Horse to l.";"";"";"Archäologische Staatssammlung München";"K0907";"";"";"Manching"
"5470";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0909";"";"";"Manching"
"5471";"Dühren";"Head to r. with forehead bandage and ringlets.";"Cross, around a border of dots, in the angles opposite V and three ringlets.";"";"";"Archäologische Staatssammlung München";"K0910";"";"";"Manching"
"5472";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"Archäologische Staatssammlung München";"K0911";"";"";"Manching"
"5473";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0912";"";"";"Manching"
"5474";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0913";"";"";"Manching"
"5475";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0917";"";"";"Manching"
"5475";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0917";"";"";"Manching"
"5476";"Boisches Kleinsilber";"Head to l.";"Horse to l.";"";"";"Archäologische Staatssammlung München";"K0923";"";"";"Manching"
"5477";"Manching 2 var.";"Head to l. dissolved into lines.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0924";"";"";"Manching"
"5477";"";"";"";"";"";"Archäologische Staatssammlung München";"K0924";"";"";"Manching"
"5478";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0929";"";"";"Manching"
"5479";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"Archäologische Staatssammlung München";"K0930";"";"";"Manching"
"5480";"Boisches Kleinsilber";"Head to l.";"Horse to l.";"";"";"Archäologische Staatssammlung München";"K0931";"";"";"Manching"
"5481";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0934";"";"";"Manching"
"5482";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Archäologische Staatssammlung München";"K0937";"";"";"Manching"
"5483";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0942";"";"";"Manching"
"5484";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0944";"";"";"Manching"
"5484";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0944";"";"";"Manching"
"5485";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0962";"";"";"Manching"
"5485";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0962";"";"";"Manching"
"5486";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0963";"";"";"Manching"
"5487";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0964";"";"";"Manching"
"5488";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0966";"";"";"Manching"
"5489";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0967";"";"";"Manching"
"5490";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0968";"";"";"Manching"
"5491";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0969";"";"";"Manching"
"5492";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0970";"";"";"Manching"
"5493";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0971";"";"";"Manching"
"5493";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0971";"";"";"Manching"
"5494";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0972";"";"";"Manching"
"5495";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0973";"";"";"Manching"
"5495";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0973";"";"";"Manching"
"5496";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0974";"";"";"Manching"
"5496";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Archäologische Staatssammlung München";"K0974";"";"";"Manching"
"5497";"Small silver uncertain type";"";"";"";"";"Archäologische Staatssammlung München";"K0975";"";"";"Manching"
"5498";"Kopf mit gewellten Haaren";"";"";"";"";"Archäologische Staatssammlung München";"K0976";"";"";"Manching"
"5499";"Dühren var.";"Head to r. with line nose and lip dots.";"Cross, in the angles opposite V and three ringlets.";"";"";"Archäologische Staatssammlung München";"K0977";"";"";"Manching"
"5500";"Small silver uncertain type";"";"";"";"";"Archäologische Staatssammlung München";"K0978";"";"";"Manching"
"5501";"Pollanten";"Head to r., unusually slender, crescent-shaped, handle ear, hair outlines.";"Horse to r. with angled head and strongly bent legs.";"";"";"Archäologische Staatssammlung München";"K0979";"";"";"Manching"
"5502";"Boisches Kleinsilber";"Head to l.";"Horse to l.";"";"";"Archäologische Staatssammlung München";"K0980";"";"";"Manching"
"5503";"Boisches Kleinsilber";"Head to l.";"Horse to l.";"";"";"Archäologische Staatssammlung München";"K0981";"";"";"Manching"
"5504";"Small silver uncertain type";"";"";"";"";"Archäologische Staatssammlung München";"K0982";"";"";"Manching"
"5505";"Small silver uncertain type";"";"";"";"";"Archäologische Staatssammlung München";"K0989";"";"";"Manching"
"5506";"Small silver uncertain type";"";"";"";"";"Archäologische Staatssammlung München";"K0998";"";"";"Manching"
"5509";"Dühren";"Head to r. with forehead bandage and ringlets.";"Cross, around a border of dots, in the angles opposite V and three ringlets.";"";"";"Staatliche Münzsammlung München";"MC20-1204";"";"8";"Manching"
"5510";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Staatliche Münzsammlung München";"MC0114";"0.39";"9.9";"Karlstein (Bad Reichenhall)"
"5511";"Pollanten";"Head to r., unusually slender, crescent-shaped, handle ear, hair outlines.";"Horse to r. with angled head and strongly bent legs.";"";"";"Staatliche Münzsammlung München";"MC0116";"0.37";"8.4";""
"5513";"Roseldorf III";"Head to l.";"Horse-like creature to l., with horns and tusks.";"";"";"Staatliche Münzsammlung München";"MC0118";"0.32";"8.2";""
"5514";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC0134";"0.44";"7.9";"Manching"
"5515";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC0135";"";"8.8";""
"5516";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC0136";"";"8.9";""
"5517";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC0137";"0.4";"8.4";"Kehlheim"
"5518";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC0138";"0.4";"8.2";"Karlstein (Bad Reichenhall)"
"5519";"Boisches Kleinsilber";"Head to l.";"Horse to l.";"";"";"Staatliche Münzsammlung München";"MC0139";"0.46";"8";"Kehlheim"
"5520";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"Staatliche Münzsammlung München";"MC0142";"0.25";"8.8";"Kehlheim"
"5520";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Staatliche Münzsammlung München";"MC0142";"0.25";"8.8";"Kehlheim"
"5521";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Staatliche Münzsammlung München";"MC0146";"0.31";"9.6";"Kehlheim"
"5522";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Staatliche Münzsammlung München";"MC0150";"0.42";"9.1";"Kehlheim"
"5523";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Staatliche Münzsammlung München";"MC0151";"0.47";"10";"Kehlheim"
"5524";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Staatliche Münzsammlung München";"MC0156";"0.42";"8.9";"Manching"
"5525";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"Staatliche Münzsammlung München";"MC0160";"0.43";"9.3";"Manching"
"5526";"Kopf mit gewellten Haaren";"";"";"";"";"Staatliche Münzsammlung München";"MC0161";"0.35";"9";"Kehlheim"
"5527";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Staatliche Münzsammlung München";"MC0165";"0.23";"8.2";"Manching"
"5528";"Boisches Kleinsilber";"Head to l.";"Horse to l.";"";"";"Staatliche Münzsammlung München";"MC0169";"0.47";"7.8";"Kehlheim"
"5529";"Boisches Kleinsilber";"Head to l.";"Horse to l.";"";"";"Staatliche Münzsammlung München";"MC0171";"0.47";"8.1";"Kehlheim"
"5530";"Boisches Kleinsilber";"Head to l.";"Horse to l.";"";"";"Staatliche Münzsammlung München";"MC0172";"0.49";"8.2";"Karlstein (Bad Reichenhall)"
"5531";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Staatliche Münzsammlung München";"MC0175";"0.37";"9.2";"Kehlheim"
"5532";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC0177";"";"12.4";""
"5533";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC0180";"";"11";""
"5534";"Dühren";"Head to r. with forehead bandage and ringlets.";"Cross, around a border of dots, in the angles opposite V and three ringlets.";"";"";"Staatliche Münzsammlung München";"MC0181";"0.34";"7.3";"Kehlheim"
"5535";"Dühren";"Head to r. with forehead bandage and ringlets.";"Cross, around a border of dots, in the angles opposite V and three ringlets.";"";"";"Staatliche Münzsammlung München";"MC0182";"0.45";"7.9";"Kehlheim"
"5537";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC0186";"";"12";""
"5538";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC0188";"";"11.2";""
"5540";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC0282";"0.46";"7.6";"Manching"
"5540";"Kopf mit gewellten Haaren";"";"";"";"";"Staatliche Münzsammlung München";"MC0282";"0.46";"7.6";"Manching"
"5541";"Kreuzmünze Kopf nach l.";"Head to l. with blunt nose, headband, hair of dots.";"Cross, in the angles V, curl, V and curl with two side points.";"";"";"Staatliche Münzsammlung München";"MC0284";"0.41";"7.4";"Manching"
"5542";"Kreuzmünze mit Ringel";"Av. Irregular hump as remnant of a head.";"Rv. Cross in the angles V. Ringlet with inner dot, torques and three dots.";"";"";"Staatliche Münzsammlung München";"MC0286";"0.47";"7.7";"Kehlheim"
"5543";"Boisches Kleinsilber";"Head to l.";"Horse to l.";"";"";"Staatliche Münzsammlung München";"MC0287";"0.42";"8.1";"Kehlheim"
"5544";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC0288";"0.47";"8.5";"Manching"
"5545";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Staatliche Münzsammlung München";"MC0303";"0.46";"9.3";"Manching"
"5546";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC0306";"";"12.4";""
"5548";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Staatliche Münzsammlung München";"MC0389";"";"9.7";""
"5549";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Staatliche Münzsammlung München";"MC0390";"";"8.3";""
"5550";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"Staatliche Münzsammlung München";"MC0395";"";"8";""
"5551";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC0456";"";"11.2";""
"5552";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC0457";"";"11.4";""
"5553";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC0458";"";"12.3";""
"5554";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC0474";"";"9.7";""
"5555";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC0475";"";"9.3";""
"5556";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC0476";"";"8.9";""
"5557";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC0477";"";"10.3";""
"5558";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC0478";"";"10.1";""
"5559";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC0479";"";"11";""
"5560";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC0480";"";"9.6";""
"5561";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC0481";"";"8.9";""
"5562";"Boisches Kleinsilber";"Head to l.";"Horse to l.";"";"";"Staatliche Münzsammlung München";"MC0482";"0.37";"8.2";"Karlstein (Bad Reichenhall)"
"5563";"Boisches Kleinsilber";"Head to l.";"Horse to l.";"";"";"Staatliche Münzsammlung München";"MC0483";"0.53";"7.7";"Karlstein (Bad Reichenhall)"
"5564";"Boisches Kleinsilber";"Head to l.";"Horse to l.";"";"";"Staatliche Münzsammlung München";"MC0485";"0.46";"8.9";"Karlstein (Bad Reichenhall)"
"5565";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Staatliche Münzsammlung München";"MC0486";"0.43";"7.3";"Karlstein (Bad Reichenhall)"
"5566";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Staatliche Münzsammlung München";"MC0488";"0.26";"8.2";"Karlstein (Bad Reichenhall)"
"5567";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Staatliche Münzsammlung München";"MC0489";"0.39";"8.2";"Karlstein (Bad Reichenhall)"
"5568";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Staatliche Münzsammlung München";"MC0490";"0.38";"9.2";"Karlstein (Bad Reichenhall)"
"5569";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Staatliche Münzsammlung München";"MC0491";"0.3";"8.2";"Karlstein (Bad Reichenhall)"
"5570";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Staatliche Münzsammlung München";"MC0492";"0.37";"10.1";"Karlstein (Bad Reichenhall)"
"5571";"Magdalensberg";"";"";"";"";"Staatliche Münzsammlung München";"MC0493";"0.67";"10.7";"Karlstein (Bad Reichenhall)"
"5572";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Staatliche Münzsammlung München";"MC0494";"0.47";"10.3";"Karlstein (Bad Reichenhall)"
"5573";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"Staatliche Münzsammlung München";"MC0495";"0.22";"9.4";"Karlstein (Bad Reichenhall)"
"5573";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"Staatliche Münzsammlung München";"MC0495";"0.22";"9.4";"Karlstein (Bad Reichenhall)"
"5574";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC0496";"0.35";"8.9";"Kehlheim"
"5575";"Magdalensberg";"";"";"";"";"Staatliche Münzsammlung München";"MC0498";"0.43";"8.2";"Karlstein (Bad Reichenhall)"
"5576";"Magdalensberg";"";"";"";"";"Staatliche Münzsammlung München";"MC0499";"0.57";"7.4";"Karlstein (Bad Reichenhall)"
"5577";"Magdalensberg";"";"";"";"";"Staatliche Münzsammlung München";"MC0501";"0.34";"10.4";"Karlstein (Bad Reichenhall)"
"5578";"Magdalensberg";"";"";"";"";"Staatliche Münzsammlung München";"MC0503";"0.44";"10";"Karlstein (Bad Reichenhall)"
"5579";"Magdalensberg";"";"";"";"";"Staatliche Münzsammlung München";"MC0504";"0.64";"10.5";"Karlstein (Bad Reichenhall)"
"5580";"Magdalensberg";"";"";"";"";"Staatliche Münzsammlung München";"MC0505";"0.51";"8.6";"Karlstein (Bad Reichenhall)"
"5581";"Pollanten";"Head to r., unusually slender, crescent-shaped, handle ear, hair outlines.";"Horse to r. with angled head and strongly bent legs.";"";"";"Staatliche Münzsammlung München";"MC0517";"0.41";"8.4";"Manching"
"5582";"Pollanten";"Head to r., unusually slender, crescent-shaped, handle ear, hair outlines.";"Horse to r. with angled head and strongly bent legs.";"";"";"Staatliche Münzsammlung München";"MC0518";"0.47";"8.8";"Manching"
"5583";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC0554";"0.54";"9.2";""
"5585";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC0561";"0.4";"9.4";"Manching"
"5586";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"Staatliche Münzsammlung München";"MC0650";"0.4";"9.5";"Manching"
"5587";"KS 1/8/1 Horse with backward facing head";"";"";"";"";"Staatliche Münzsammlung München";"MC0651";"0.3";"8.2";"Manching"
"5588";"Kopf mit gewellten Haaren";"";"";"";"";"Staatliche Münzsammlung München";"MC0670";"0.37";"7.7";"Pfaffenhofen"
"5590";"Brillengesicht";"";"";"";"";"Staatliche Münzsammlung München";"MC0672";"";"8.4";""
"5591";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC0706";"";"10";""
"5592";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC0707";"";"9.6";""
"5593";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC0708";"";"9.1";""
"5594";"Magdalensberg";"";"";"";"";"Staatliche Münzsammlung München";"MC0713";"0.33";"9.6";"Karlstein (Bad Reichenhall)"
"5595";"Magdalensberg";"";"";"";"";"Staatliche Münzsammlung München";"MC0714";"0.33";"8.5";"Karlstein (Bad Reichenhall)"
"5596";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC0717";"0.6";"8.9";"Karlstein (Bad Reichenhall)"
"5597";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Staatliche Münzsammlung München";"MC0718";"0.45";"8.9";"Karlstein (Bad Reichenhall)"
"5598";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Staatliche Münzsammlung München";"MC0719";"0.32";"8.4";"Karlstein (Bad Reichenhall)"
"5599";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC0720";"0.34";"8.6";"Karlstein (Bad Reichenhall)"
"5600";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC0721";"0.45";"9.4";"Karlstein (Bad Reichenhall)"
"5601";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC0722";"0.39";"9.4";"Karlstein (Bad Reichenhall)"
"5602";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"Staatliche Münzsammlung München";"MC0723";"0.17";"8";"Karlstein (Bad Reichenhall)"
"5602";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Staatliche Münzsammlung München";"MC0723";"0.17";"8";"Karlstein (Bad Reichenhall)"
"5603";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC0728";"0.42";"7.8";"Manching"
"5604";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC0730";"0.38";"8.7";"Manching"
"5606";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC0759";"0.38";"8.8";"Karlstein (Bad Reichenhall)"
"5606";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Staatliche Münzsammlung München";"MC0759";"0.38";"8.8";"Karlstein (Bad Reichenhall)"
"5607";"Kreuzmünze Kopf nach l.";"Head to l. with blunt nose, headband, hair of dots.";"Cross, in the angles V, curl, V and curl with two side points.";"";"";"Staatliche Münzsammlung München";"MC0760";"";"9";""
"5608";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC0761";"";"9.7";""
"5609";"Magdalensberg";"";"";"";"";"Staatliche Münzsammlung München";"MC0762";"0.42";"7.7";"Karlstein (Bad Reichenhall)"
"5610";"Magdalensberg";"";"";"";"";"Staatliche Münzsammlung München";"MC0763";"0.4";"7.9";"Karlstein (Bad Reichenhall)"
"5611";"Boisches Kleinsilber";"Head to l.";"Horse to l.";"";"";"Staatliche Münzsammlung München";"MC0779";"0.38";"8";"Karlstein (Bad Reichenhall)"
"5612";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Staatliche Münzsammlung München";"MC0780";"0.31";"8.3";"Karlstein (Bad Reichenhall)"
"5613";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Staatliche Münzsammlung München";"MC0781";"0.41";"8.4";"Karlstein (Bad Reichenhall)"
"5614";"Boisches Kleinsilber";"Head to l.";"Horse to l.";"";"";"Staatliche Münzsammlung München";"MC0782";"0.36";"7.7";"Karlstein (Bad Reichenhall)"
"5615";"Boisches Kleinsilber";"Head to l.";"Horse to l.";"";"";"Staatliche Münzsammlung München";"MC0783";"0.52";"8.9";"Karlstein (Bad Reichenhall)"
"5616";"Boisches Kleinsilber";"Head to l.";"Horse to l.";"";"";"Staatliche Münzsammlung München";"MC0784";"0.38";"7.5";"Karlstein (Bad Reichenhall)"
"5617";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Staatliche Münzsammlung München";"MC0785";"0.34";"8.9";"Karlstein (Bad Reichenhall)"
"5618";"Boisches Kleinsilber";"Head to l.";"Horse to l.";"";"";"Staatliche Münzsammlung München";"MC0786";"0.35";"8.3";"Karlstein (Bad Reichenhall)"
"5619";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Staatliche Münzsammlung München";"MC0787";"0.37";"9.1";"Karlstein (Bad Reichenhall)"
"5620";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Staatliche Münzsammlung München";"MC0788";"0.39";"8.4";"Karlstein (Bad Reichenhall)"
"5621";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Staatliche Münzsammlung München";"MC0789";"0.42";"9.4";"Karlstein (Bad Reichenhall)"
"5622";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Staatliche Münzsammlung München";"MC0790";"0.37";"8.9";"Karlstein (Bad Reichenhall)"
"5623";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Staatliche Münzsammlung München";"MC0791";"0.42";"10.5";"Karlstein (Bad Reichenhall)"
"5624";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC0812";"";"12.6";""
"5625";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Staatliche Münzsammlung München";"MC0815";"0.33";"8.1";"Karlstein (Bad Reichenhall)"
"5626";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Staatliche Münzsammlung München";"MC0816";"0.4";"8.4";"Karlstein (Bad Reichenhall)"
"5627";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Staatliche Münzsammlung München";"MC0817";"0.46";"9.8";"Karlstein (Bad Reichenhall)"
"5628";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Staatliche Münzsammlung München";"MC0818";"0.45";"8.3";"Karlstein (Bad Reichenhall)"
"5629";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC0819";"";"8";""
"5630";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"Staatliche Münzsammlung München";"MC1184";"0.37";"8.4";"Karlstein (Bad Reichenhall)"
"5631";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC1185";"";"9.2";""
"5633";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC1187";"";"13.3";""
"5634";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC1188";"";"13";""
"5636";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC1190";"";"13.1";""
"5637";"Pollanten";"Head to r., unusually slender, crescent-shaped, handle ear, hair outlines.";"Horse to r. with angled head and strongly bent legs.";"";"";"Staatliche Münzsammlung München";"MC1191";"0.42";"8";""
"5641";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC1195";"";"13.5";""
"5643";"Spätere süddeutsche Kreuzmünze";"Head to r.";"Cross, in the angles V, circle, V and torques.";"";"";"Staatliche Münzsammlung München";"MC1197";"";"12.4";""
"5645";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC1199";"";"12.2";""
"5647";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC1201";"";"14";""
"5649";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC1203";"";"11.1";""
"5651";"Kreuzmünze mit Ringel";"Av. Irregular hump as remnant of a head.";"Rv. Cross in the angles V. Ringlet with inner dot, torques and three dots.";"";"";"Staatliche Münzsammlung München";"MC1205";"";"11.6";""
"5652";"Small silver uncertain type";"";"";"";"";"Staatliche Münzsammlung München";"MC1206";"";"10.9";""
