"Id";"Type | Code | Code";"Type | Obverse design | Obverse design | Description";"Type | Reverse design | Reverse design | Description";"Collection | Name";"Collection | Surname";"Collection | Name";"Inventory number";"Weight";"Diameter max.";"Findspot | Name"
"4841";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Historisches Museum Regensburg";"Regensburg3463";"";"10.1";"Berching-Pollanten"
"4842";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Historisches Museum Regensburg";"Regensburg3464";"";"10.1";"Berching-Pollanten"
"4843";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"Historisches Museum Regensburg";"Regensburg3475";"";"9";"Berching-Pollanten"
"4844";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Historisches Museum Regensburg";"Regensburg3476";"";"9.6";"Berching-Pollanten"
"4845";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"Historisches Museum Regensburg";"Regensburg3477";"";"9.7";"Berching-Pollanten"
"4845";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Historisches Museum Regensburg";"Regensburg3477";"";"9.7";"Berching-Pollanten"
"4846";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Historisches Museum Regensburg";"Regensburg3478";"";"10.3";"Berching-Pollanten"
"4847";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Historisches Museum Regensburg";"Regensburg3479";"";"10.01";"Berching-Pollanten"
"4848";"Boisches Kleinsilber";"Head to l.";"Horse to l.";"";"";"Historisches Museum Regensburg";"Regensburg3480";"";"10.2";"Berching-Pollanten"
"4849";"Strenges Gesicht";"Head to l. Hair with short parallel lines, roof-like.";"Horse to l. ";"";"";"Historisches Museum Regensburg";"Regensburg3481";"";"7.9";"Berching-Pollanten"
"4850";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Historisches Museum Regensburg";"Regensburg3483";"";"9.9";"Berching-Pollanten"
"4851";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Historisches Museum Regensburg";"Regensburg3484";"";"9.7";"Berching-Pollanten"
"4852";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Historisches Museum Regensburg";"Regensburg3485";"";"10.2";"Berching-Pollanten"
"4853";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Historisches Museum Regensburg";"Regensburg3485";"";"10.2";"Berching-Pollanten"
"4854";"Small silver uncertain type";"";"";"";"";"Historisches Museum Regensburg";"Regensburg3504";"";"10.2";"Berching-Pollanten"
"4855";"Small silver uncertain type";"";"";"";"";"Historisches Museum Regensburg";"Regensburg3505";"";"9.3";"Berching-Pollanten"
"4856";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Historisches Museum Regensburg";"Regensburg3507";"";"9";"Berching-Pollanten"
"5058";"Manching 1";"Head to l. with semicircular raised hair cap, outside dotted arch.";"Horse to l. above dots, below angled point.";"";"";"Gäubodenmuseum Straubing";"Irlbach39-15";"0.39";"1.1";"Irlbach"
"5058";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Gäubodenmuseum Straubing";"Irlbach39-15";"0.39";"1.1";"Irlbach"
"5059";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Gäubodenmuseum Straubing";"Irlbach39-16";"0.45";"0.9";"Irlbach"
"5059";"Manching 2 var. Haare gewellt";"Head l. wavy Hair.";"Horse l. above dots, below angled point with A.";"";"";"Gäubodenmuseum Straubing";"Irlbach39-16";"0.45";"0.9";"Irlbach"
"5060";"Small silver uncertain type";"";"";"";"";"Gäubodenmuseum Straubing";"Irlbach39-17";"0.37";"0.8";"Irlbach"
"5061";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Gäubodenmuseum Straubing";"Irlbach39-19";"0.42";"0.8";"Irlbach"
"5062";"Kopf mit gewellten Haaren";"";"";"";"";"Gäubodenmuseum Straubing";"Irlbach39-20";"0.44";"0.8";"Irlbach"
"5064";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Deggendorf, Kreisarchäologie";"BaP 0007";"0.43";"";"Oberpöring"
"5065";"Dühren";"Head to r. with forehead bandage and ringlets.";"Cross, around a border of dots, in the angles opposite V and three ringlets.";"";"";"Deggendorf, Kreisarchäologie";"UIM 003";"0.3";"";"Tabertshausen"
"5066";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Deggendorf, Kreisarchäologie";"ZiA 0001";"0.5";"";"Oberpöring"
"5067";"Kreuzmünze Kopf nach l.";"Head to l. with blunt nose, headband, hair of dots.";"Cross, in the angles V, curl, V and curl with two side points.";"";"";"Deggendorf, Kreisarchäologie";"ZiA 0023";"0.44";"";"Oberpöring"
"5068";"Small silver uncertain type";"";"";"";"";"Stadtmuseum Bad Reichenhall";"00012";"";"0.9";"Karlstein (Bad Reichenhall)"
"5069";"Manching 2";"Head to l. with parted cap of hair.";"Horse to l. above dots, below angled point.";"";"";"Stadtmuseum Bad Reichenhall";"00016";"";"0.9";"Karlstein (Bad Reichenhall)"
"5070";"Small silver uncertain type";"";"";"";"";"Stadtmuseum Bad Reichenhall";"00020";"";"1.2";"Karlstein (Bad Reichenhall)"
"5071";"Stachelhaar a";"Head to l., a few spiky strands of hair with end points.";"Horse to l., above five dots.";"";"";"Stadtmuseum Bad Reichenhall";"00022";"0.41";"1";"Karlstein (Bad Reichenhall)"
"5072";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Stadtmuseum Bad Reichenhall";"00024";"0.3";"";"Karlstein (Bad Reichenhall)"
"5073";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Stadtmuseum Bad Reichenhall";"00025";"0.3";"";"Karlstein (Bad Reichenhall)"
"5074";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Stadtmuseum Bad Reichenhall";"00026";"0.3";"";"Karlstein (Bad Reichenhall)"
"5075";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Stadtmuseum Bad Reichenhall";"00027";"0.3";"";"Karlstein (Bad Reichenhall)"
"5076";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Stadtmuseum Bad Reichenhall";"00028";"0.3";"";"Karlstein (Bad Reichenhall)"
"5077";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Stadtmuseum Bad Reichenhall";"00029";"0.3";"";"Karlstein (Bad Reichenhall)"
"5078";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Stadtmuseum Bad Reichenhall";"00030";"0.3";"";"Karlstein (Bad Reichenhall)"
"5079";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Stadtmuseum Bad Reichenhall";"00031";"0.3";"";"Karlstein (Bad Reichenhall)"
"5080";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Stadtmuseum Bad Reichenhall";"00032";"0.3";"";"Karlstein (Bad Reichenhall)"
"5081";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Stadtmuseum Bad Reichenhall";"00033";"0.3";"";"Karlstein (Bad Reichenhall)"
"5082";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Stadtmuseum Bad Reichenhall";"00034";"0.3";"";"Karlstein (Bad Reichenhall)"
"5083";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Stadtmuseum Bad Reichenhall";"00035";"0.3";"";"Karlstein (Bad Reichenhall)"
"5084";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Stadtmuseum Bad Reichenhall";"00036";"0.3";"";"Karlstein (Bad Reichenhall)"
"5085";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Stadtmuseum Bad Reichenhall";"00037";"0.3";"";"Karlstein (Bad Reichenhall)"
"5086";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Stadtmuseum Bad Reichenhall";"00038";"0.3";"";"Karlstein (Bad Reichenhall)"
"5087";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Stadtmuseum Bad Reichenhall";"00039";"0.3";"";"Karlstein (Bad Reichenhall)"
"5088";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Stadtmuseum Bad Reichenhall";"00040";"0.3";"";"Karlstein (Bad Reichenhall)"
"5089";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Stadtmuseum Bad Reichenhall";"00041";"0.3";"";"Karlstein (Bad Reichenhall)"
"5090";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Stadtmuseum Bad Reichenhall";"00042";"0.3";"";"Karlstein (Bad Reichenhall)"
"5091";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Stadtmuseum Bad Reichenhall";"00043";"0.3";"";"Karlstein (Bad Reichenhall)"
"5092";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Stadtmuseum Bad Reichenhall";"00044";"0.3";"";"Karlstein (Bad Reichenhall)"
"5093";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Stadtmuseum Bad Reichenhall";"00045";"0.3";"";"Karlstein (Bad Reichenhall)"
"5094";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Stadtmuseum Bad Reichenhall";"00046";"0.3";"";"Karlstein (Bad Reichenhall)"
"5095";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Stadtmuseum Bad Reichenhall";"00047";"0.3";"";"Karlstein (Bad Reichenhall)"
"5096";"Karlstein";"Hump, smooth or with slight irregularities.";"Horse to l., body of two spheres, legs and tail of dotted lines.";"";"";"Stadtmuseum Bad Reichenhall";"00048";"0.3";"";"Karlstein (Bad Reichenhall)"
